pca_id,group,camphene,alpha_phellandrene,limonene,ocimene,terpinolene,terpinen_four_ol,methyl_salicylate,bornyl_acetate,alpha_humulene,methyl_jasmonate,alpha_pinene,beta_myrcene,alpha_terpinene,beta_phellandrene,fenchone,camphor,alpha_terpineol,eugenol,beta_caryophyllene,trimethyl_trideca,cis_three_hexen_one_ol,sabinene,beta_pinene,p_cymene,eucalyptol,gamma_terpinene,linalool,linalool_oxide,longifolene,beta_farnesene,one_four_cineole,menthol,borneol,citronellol,alpha_copaene
sample_p14_6pm_como_summer_2024,cs6,-2.974857471,-1.720340275,-1.332593748,-1.659042232,-0.750446811,-0.782478344,-1.581305285,-1.166782479,-1.952125299,-1.171106111,-1.470448813,-2.408704666,-1.737261782,-0.689634567,-0.365162142,-0.935255788,-1.478560827,-1.168207899,-2.64667972,-1.598395225,-2.586924856,-1.183873875,-1.964064023,0.369629254,-1.558068183,-0.746832804,-0.518519659,-0.887056526,-2.719610503,0.014024345,-1.894310776,0.258383999,-1.776273253,0.370650649,-3.228993538
sample_p14_8am_como_summer_2024,cs8,-1.897755655,-1.970950143,-0.459686182,-1.593593332,-2.049692266,0.142654764,-1.208928518,-1.38790243,-1.430766173,-1.263995228,-1.288994698,-1.952965726,-2.245250688,0.254094317,-0.574997115,-1.214777853,-1.829670254,-0.922337692,-1.61821089,-2.469024063,-2.743337803,-1.389130485,-2.081561498,-1.828865972,-1.191347612,-1.564570845,-0.034580416,-1.661695752,-2.45344718,-0.495336009,-1.202025899,-1.188503212,-1.792511494,-0.911102952,-3.035660052
sample_p9_12pm_como_summer_2024,cs12,-1.425100743,-1.089847132,-0.659308193,-1.55919779,-1.858165483,-0.814211657,-1.451609879,-1.226156142,-1.793622445,-1.277205491,-1.492017678,-1.366680424,-1.685855393,-0.736055343,-1.474092826,-1.337141393,-1.726908887,-0.821791412,-2.273507463,-2.368654804,-1.798039177,-0.499567925,-1.471203393,-0.894003178,-1.494185104,-1.415800978,-0.629225742,-1.054482326,-2.598226949,-0.084107127,-2.859296242,-1.045256289,-1.624744887,-1.368645366,-3.094821073
sample_p9_6pm_como_summer_2024,cs6,-2.795123527,-2.713819,-1.322338232,-1.931196553,-1.704541358,-1.112003615,-1.664672103,-1.300760389,-1.254261328,-0.492925084,-1.62129505,-2.281374714,-1.703009184,-0.64792614,-0.31391923,-1.043267109,-1.698537901,-1.114415398,-1.389496208,-2.377990964,-2.693028849,-1.097476699,-1.895155543,0.304505259,-1.668464351,-0.77592086,-0.809840516,-0.959639561,-1.733838156,-0.14444067,-2.930778907,0.217809057,-0.409907954,0.312269253,-3.075668509
sample_p9_8am_como_summer_2024,cs8,-2.26694612,-2.930275373,-1.404054875,-1.723448378,-2.084975777,-0.691044085,-1.351106161,-1.998155469,-1.628081184,-1.03420405,-1.799237124,-2.085293162,-2.541425595,-1.015712618,-1.070235657,-1.242248403,-2.284971185,-0.916367283,-1.671180594,-2.273269522,-2.218384196,-1.371651248,-2.378638512,-0.356452335,-1.427392627,-1.363616634,-0.516016883,-1.804424058,-2.191285122,-0.0123336,-2.518924237,-1.134628419,-1.708518812,-1.533892894,-3.011404255
sample_p3_12pm_forest_fall_2023,ff12,-2.114858876,-2.981868006,-1.435768227,-2.610634119,-0.758313083,-1.456757152,-1.446772946,-1.578870134,-1.788755849,-1.316826469,-1.695436843,-2.035653603,-1.744405065,-1.743181831,-1.335706453,-1.444821219,-2.581911663,-2.902741278,-2.54251818,-2.622741017,-2.553889138,-1.145372861,-2.187181445,-1.753841344,-2.33835793,-2.587333076,-2.138089299,-1.985539954,-2.320143906,-0.226460341,-2.736553734,-1.572380032,-1.956338349,-0.408339721,-2.723985681
sample_p3_6pm_forest_fall_2023,ff6,-1.45671613,-2.209971911,-0.756804105,-1.726947794,-1.84888685,-1.578526511,-1.538635315,-1.292994068,-1.524197498,-1.130010962,-0.98147718,-1.56576904,-1.863122818,-0.918258801,-1.695643128,-1.142737699,-2.03359323,-2.932150317,-1.994226293,-2.267720417,-2.612262654,-0.763668714,-1.366569518,-1.54403818,-1.685396028,-1.819239605,-1.328475732,-1.309450632,-2.383970884,-0.487531836,-2.259034702,-1.445901492,-1.972068007,-0.045046743,-2.787850306
sample_p3_8am_forest_fall_2023,ff8,-1.677313716,-2.313339091,-0.948364369,-1.862656992,-1.723674547,-1.01611605,-1.509620491,-1.442615266,-1.505873187,-1.49852737,-1.150240125,-1.858879352,-2.048127813,-0.220571582,-2.22131366,-1.275246841,-2.741153386,-2.496517931,-1.669214891,-2.050263311,-2.478730535,-1.002652134,-2.192387036,-1.382674383,-1.028524307,-1.930999354,-1.063165536,-2.306363749,-1.572143023,-0.442478741,-1.521219589,-2.010269613,-2.308711231,-1.576637619,-2.884300204
sample_p4_12pm_forest_fall_2023,ff12,-1.44480069,-0.678855169,-0.309338572,-1.608926674,-2.139840691,-0.959810363,-1.319788481,-1.227137091,-1.678422279,-1.087404428,-0.749066727,-1.255855936,-1.524039949,0.351851064,-1.448812766,-1.06672707,-2.308038723,-2.861076164,-2.046940612,-1.636243425,-2.61137427,-0.567662948,-1.184239441,-1.267769413,-1.090937019,-0.582236052,-0.386384356,-1.716571016,-1.791625418,-0.25251481,-2.147639028,-1.359276931,-1.755936518,-1.466961082,-2.732158233
sample_p4_6pm_forest_fall_2023,ff6,-1.265894581,-1.159734333,0.025507589,0.139250428,-1.417367287,-0.904055572,-1.270036938,-0.924799191,-1.823247894,-1.24388153,-0.357973827,-0.821288786,-1.409078364,0.724477594,-0.966785763,-0.90857999,-1.438958618,-2.8927462,-1.999822754,-2.846494101,-1.589906682,-0.478253337,-0.794107516,-0.663607588,-1.109089072,-1.424262129,-0.848666632,-0.865200094,-1.636015974,-0.742886106,-1.767809236,-0.72441065,-1.581033585,-1.201393585,-2.839598461
sample_p4_8am_forest_fall_2023,ff8,-1.378549792,-2.376548994,-0.904740714,-1.647899421,-1.835186981,-0.981353663,-1.583052948,-1.419774109,-1.529466913,-1.220648972,-1.249835971,-2.041721068,-2.151301051,-0.199034848,-1.011492271,-1.837420316,-2.719387887,-2.530974977,-1.59930904,-2.315353054,-2.231656391,-1.107822131,-1.156824934,-1.122712225,-1.939952238,-2.107567922,-0.665932663,-2.314053419,-2.501004039,-0.350279457,-2.262113813,-1.284948508,-1.818886353,-1.977228174,-2.955537284
